name,age,location,salary,rent_paid,college_name,state,male_or_female,married_or_single
Sarah,25,Seattle,84987,1361,MIT,Massachusetts,Male,Married
Sarah,46,Los Angeles,121838,3392,NYU,California,Female,Single
Emily,35,Denver,89609,1579,University of Chicago,New York,Female,Single
James,47,Boston,107122,3571,Stanford,Massachusetts,Male,Married
Alice,42,Los Angeles,88719,1419,UC Berkeley,New York,Male,Married
Daniel,39,Boston,51854,1694,Columbia,Washington,Male,Single
Daniel,52,Denver,98691,2087,UC Berkeley,Texas,Male,Single
Sarah,26,Chicago,117184,2393,University of Chicago,Illinois,Female,Single
James,58,Chicago,69579,1906,Princeton,Colorado,Male,Single
Emily,58,Miami,83452,1725,Stanford,Florida,Female,Married
Sarah,30,San Francisco,138472,2334,MIT,Washington,Male,Single
John,52,Chicago,141249,1390,Princeton,California,Male,Single
Daniel,44,Denver,68805,2346,UCLA,California,Female,Married
James,29,Seattle,88571,2924,NYU,Massachusetts,Female,Married
John,51,San Francisco,99326,1149,University of Chicago,California,Female,Married
Emily,30,Chicago,113721,2511,UCLA,Massachusetts,Female,Married
Emma,51,Boston,143401,3432,Harvard,Georgia,Female,Married
Daniel,44,Dallas,137539,3647,NYU,Washington,Female,Married
Sarah,28,Seattle,45141,2915,University of Chicago,Illinois,Female,Married
John,33,Houston,125026,1146,MIT,California,Male,Married
Sarah,53,Miami,112995,2532,University of Chicago,Colorado,Male,Single
Emma,39,Chicago,106599,1969,Princeton,Georgia,Female,Married
Alice,25,San Francisco,75965,1145,Princeton,Massachusetts,Male,Single
